직종,회사명
NLP Researcher,AITRICS
"영상기반 다차원 컨텐츠 플랫폼회사(미국 뉴욕), Frontedd/ Backend/ iOS/ Engine/ D",코어포인트
백엔드 경력 정규직,라이트비전
8퍼센트 경력 개발자,8퍼센트
"웹개발, 백엔드 외 경력 정규직",핀후드
Jr. Back-end Engineer (Node.js),Soomgo
서버개발자(벡앤드) 정규직,오비이랩
안드로이드 및 서버 개발자,오늘하루
FinTech 서비스 플랫폼 개발 통해 세상 변화시킬 개발자분 만나고 싶습니다,핀투비
(주)작당모의 앱 개발자,작당모의
서울 강남구 인썸니아 시니어 개발자 및 퍼블리셔,인썸니아
Lead AI Platform Developer,AITRICS
Developer / Designer recruit,마이뮤직테이스트
"딥러닝,프론트,백앤드,풀스택 개발자 / 능력급",아이디어 콘서트
백엔드 개발자,뉴트리션코트
AI Service Planning/Business Development,AITRICS
Operations Specialist (1 year contract),IQVIA
위시켓과 함께할 서버개발자님,위시켓
디지털사업본부 경력직 데이터 분석가 채용,교보증권
기술연구소 웹 백엔드 엔지니어 신입/경력직,수성엔지니어링
SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
디지털사업본부 백엔드 엔지니어 채용,교보증권
Back-end Developer,AITRICS
보안 개발자 모집,넷마블
IT 인프라 운영 도구 개발,NHN
Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript,버드뷰
"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어
DevOps/MLOps Engineer,AITRICS
네트워크 엔지니어링,NHN
코스닥 상장기업 OCEAN 개발,다원커리어
"백엔드 개발자 (Software Engineer, Backend)",엘리스
웹 프론트엔드 개발자,프루팅
Lead Medical AI SW Developer,AITRICS
[신입/경력] 프론트엔드 및 백엔드(파이썬) 웹 개발자,파인헬스케어
"RESTful, AWS 클라우드 백엔드 개발자 경력무관",모스카스튜디오
에이아이톡 - 함께하실Django 웹 백엔드 개발자경력 정규직,에이아이톡
Sr. Back-end Engineer (Python),Soomgo
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
SITE RELIABILITY ENGINEER,"ODK Media, Inc."
Jr. Back-end Engineer (Python),Soomgo
스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드,파이오니어에이아이연구소
IT 개발,휴먼디지털
코박(Cobak) Back-end 개발 경력 정규직,판도라티비
[현장코칭] (주)작당모의 앱 개발자,작당모의
IT개발리더,Success Korea
Server Programmer,Success Korea
AI 디지털마케팅 플랫폼 개발 서비스엔지니어링 팀장,Success Korea
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업
Backend Developer(Python),Success Korea
"(KR) Backend Engineer, AI Platform - API",Lunit
SR. SOFTWARE ENGINEER - BACKEND,"ODK Media, Inc."
"(Global) Senior Backend Engineer, Oncology AI Platform",Lunit
(주)아이엠비디엑스 IT,주식회사 아이엠비디엑스 관심기업
